# S-cluster stars: orbital elements from Gillessen+2017 (ApJ 837,30)
# and GRAVITY Collaboration 2020 (A&A 636,L5) for S2
# name|spectralType|a_arcsec|e|i_deg|Omega_deg|omega_deg|T0_yr|P_yr
S1|B5|0.5950|0.5560|119.14|342.04|122.30|1955.0|94.1
S2|B0-2V|0.12535|0.88466|134.70|228.17|66.26|2018.379|16.046
S4|B|0.3878|0.3905|77.83|258.14|316.31|1980.3|78.5
S5|B|0.2720|0.8420|153.9|5.2|247.6|2002.1|73.1
S6|B|0.3570|0.8400|86.9|85.5|105.6|1996.6|87.4
S7|B|0.4420|0.6900|67.0|271.6|11.3|1958.7|131.5
S8|B0V|0.4047|0.8031|74.37|315.43|346.70|1983.5|83.5
S9|B|0.2793|0.6440|82.41|156.44|152.68|1976.5|75.9
S12|B|0.2992|0.8883|33.56|230.70|317.72|1995.5|55.8
S13|B|0.2643|0.4250|24.70|74.59|245.47|1998.1|49.0
S14|B|0.2810|0.9389|100.03|226.38|340.09|2000.1|55.0
S17|B|0.3238|0.3970|95.57|195.64|326.38|2009.8|66.7
S18|B|0.4610|0.7740|113.3|99.8|175.3|2002.4|96.1
S19|B|0.5020|0.8500|72.2|340.3|344.1|2003.0|115.1
S21|B|0.3780|0.7600|74.6|258.0|188.0|2021.5|74.6
S24|B|0.5060|0.9000|109.7|291.5|279.3|2002.5|116.3
S27|B|0.3785|0.9550|96.0|241.7|105.2|2001.0|95.1
S29|B|0.2840|0.7750|145.9|147.4|357.8|1982.5|63.5
S31|B|0.3960|0.5530|99.0|296.7|139.5|1981.0|101.5
S33|B|0.4690|0.8250|160.7|136.1|13.3|1997.2|104.1
S38|B|0.1410|0.8200|171.1|101.3|17.6|2003.2|19.2
S39|B|0.4440|0.9400|148.1|174.2|344.6|2000.1|94.0
S42|B|0.4730|0.7300|43.9|279.7|303.4|2003.5|109.3
S54|B|0.2380|0.8930|68.1|78.5|248.7|2000.6|56.1
S55|B|0.1030|0.7210|150.0|325.4|325.7|2009.7|11.5
S60|B|0.5810|0.8700|145.1|223.2|244.5|1997.8|143.0
S62|B|0.0909|0.9760|72.76|122.61|42.62|2003.33|9.9
S65|B|0.4590|0.7250|158.5|214.0|255.9|1990.2|96.3
S66|B|0.5560|0.5480|127.0|193.0|107.0|1968.0|134.0
S67|B|0.3390|0.8700|129.9|82.7|151.0|1977.0|76.3
S71|B|0.4890|0.9120|160.0|189.0|100.5|2002.0|110.0
S83|B|0.5390|0.6650|68.9|236.1|228.0|1987.0|127.7
S85|B|0.2720|0.9080|124.7|155.0|17.5|2001.5|75.9
S87|B|0.4400|0.6900|127.0|156.0|302.0|1989.0|111.0
S89|B|0.5600|0.6900|42.4|68.2|192.0|2012.0|135.0
S91|B|0.3980|0.8200|149.0|311.0|264.0|1984.0|99.0
S96|B|0.4620|0.8060|142.5|310.9|170.8|2001.5|107.0
S97|B|0.5350|0.6850|133.3|316.2|138.2|2003.0|118.0
