* 42 Peg|Homam
* alf And|Alpheratz
* alf Aql|Altair
* alf Ari|Hamal
* alf Aur|Capella
* alf Boo|Arcturus
* alf CMa|Sirius
* alf CMi|Procyon
* alf Car|Canopus
* alf Cas|Schedar
* alf Cen A|Rigil Kentaurus
* alf Cep|Alderamin
* alf CrB|Alphecca
* alf Cru|Acrux
* alf Cyg|Deneb
* alf Eri|Achernar
* alf Gem|Castor
* alf Gru|Alnair
* alf Her B|Rasalgethi
* alf Hya|Alphard
* alf Leo|Regulus
* alf Lyr|Vega
* alf Oph|Rasalhague
* alf Ori|Betelgeuse
* alf Pav|Peacock
* alf Peg|Markab
* alf Per|Mirfak
* alf Phe|Ankaa
* alf PsA|Fomalhaut
* alf Sco|Antares
* alf Tau|Aldebaran
* alf TrA|Atria
* alf UMa|Dubhe
* alf UMi|Polaris
* alf Vir|Spica
* bet And|Mirach
* bet Aur|Menkalinan
* bet CMa|Mirzam
* bet Car|Miaplacidus
* bet Cas|Caph
* bet Cen|Hadar
* bet Cet|Diphda
* bet Cru|Mimosa
* bet Gem|Pollux
* bet Gru|Tiaki
* bet Leo|Denebola
* bet Ori|Rigel
* bet Peg|Scheat
* bet Per|Algol
* bet Tau|Elnath
* bet UMa|Merak
* bet UMi|Kochab
* bet01 Sco|Acrab
* del CMa|Wezen
* del Ori|Mintaka
* del Sco|Dschubba
* del01 Vel|Alsephina
* eps Boo|Izar
* eps CMa|Adhara
* eps Car|Avior
* eps Cyg|Aljanah
* eps Ori|Alnilam
* eps Peg|Enif
* eps Sco|Larawag
* eps Sgr|Kaus Australis
* eps UMa|Alioth
* eta CMa|Aludra
* eta Oph|Sabik
* eta UMa|Alkaid
* gam Cen|Muhlifain
* gam Cet A|Kaffaljidhma
* gam Cru|Gacrux
* gam Cyg|Sadr
* gam Dra|Eltanin
* gam Gem|Alhena
* gam Leo|Algieba
* gam Ori|Bellatrix
* gam UMa|Phecda
* gam01 And|Almach
* gam02 Sgr|Alnasl
* gam02 Vel|Regor
* iot Car|Aspidiske
* iot Uma A|Talitha
* kap Ori|Saiph
* kap Sco|Girtab
* kap Vel|Markeb
* lam Oph A|Marfik
* lam Ori A|Meissa
* lam Sco|Shaula
* lam Vel|Suhail
* sig Sgr|Nunki
* tet Cen|Menkent
* tet Sco|Sargas
* zet Ori|Alnitak
* zet Pup|Naos
* zet01 UMa|Mizar
HD 42818|Shangwei
